actual,prediction,prediction_corrected
NPuatBk,NPaatBk,NPatBk
3XXb,3X-Xb--,3XXb
az3d0un,az3d00n,az3d0n
s5H9m,s5H99mm,s5H9m
4bTc,4bTTc--,4bTc
4pDFj,4pDFjjj,4pDFj
38uX,38uuX--,38uX
fQyo,fQyoo--,fQyo
urDybF,urDybbF,urDybF
lQRNPI,lQRNPPI,lQRNPI
zecU,zeccU--,zecU
rAxl,rAxxl--,rAxl
zBp7kTD,zBp7kTD,zBp7kTD
raphC,raphhCC,raphC
8KCU8,8KCU888,8KCU8
9EAfG,9EAffGG,9EAfG
F1ruNAH,F1ruNAH,F1ruNAH
WCLW3,WCLW333,WCLW3
yngg,yngg---,yng
p2YvW,p2YvvWW,p2YvW
4aWUE,4aWUUEE,4aWUE
b2R9r,b2R99rr,b2R9r
hg79A,hg799AA,hg79A
J4rU,J4rrU--,J4rU
V4BY,V4BB---,V4B
FCZEdrr,FFRRRRR,FR
lL8N,lL8----,lL8
7eOtj,7eOtjjj,7eOtj
FOyqWt,FOyqqqt,FOyqt
lW5wQ8,lW5wQQ8,lW5wQ8
57K7T,57K77TT,57K7T
SVxmK,SVxxmKK,SVxmK
OIOSQ,OOOSSQQ,OSQ
i3z8,i3zz8--,i3z8
ZNBYcSV,ZNBYcSV,ZNBYcSV
wVoJze,wVoJJze,wVoJze
LTaOu,LTaOuuu,LTaOu
zPRJk,zPRJJkk,zPRJk
bTD2gi,bTD2ggi,bTD2gi
BW2kd,BW2kkdd,BW2kd
fYGHfB,fYGHffB,fYGHfB
d7qBKnn,ddRRRRR,dR
l5plb,l5pllbb,l5plb
FpBfCO,FpBfCCO,FpBfCO
fiSwq0,fiSwwq0,fiSwq0
YqkV,YqkV---,YqkV
mHb7c,mHb77cc,mHb7c
uRvMtj,uRvMMtj,uRvMtj
uDhE5,uDhEE55,uDhE5
9uZuFc,9uuuuFc,9uFc
opiFc,opiFFcc,opiFc
7Nbi1A,7Nbii1A,7Nbi1A
ZHzgV2,ZHzzgV2,ZHzgV2
7AbXg,7AbXXgg,7AbXg
cv6Bc,cv6BBcc,cv6Bc
PvY2,PvY22--,PvY2
ACdQ,ACdQQ--,ACdQ
RMdM1bc,RMMMMbc,RMbc
tPCoB,tPCooBB,tPCoB
jfYm,jfYYm--,jfYm
LlH3,LlH33--,LlH3
I5lL,I5lLL--,I5lL
joBn,joBBn--,joBn
hiQo,hiQQo--,hiQo
HmOcxLe,HmOcxLe,HmOcxLe
daX1MiS,daX1MiS,daX1MiS
QdcY7P,QdcY77P,QdcY7P
iriozU,iriozzU,iriozU
db4Og,db44Ogg,db4Og
Ov8Z1g,Ov8Z11g,Ov8Z1g
I5Uxu,I5Uxuuu,I5Uxu
8fKhSF,8fKhSSF,8fKhSF
oRAB0qp,oRAB0qp,oRAB0qp
Hb8G,Hb88---,Hb8
kmi8Ul,kmi88Ul,kmi8Ul
0gqWs,0gqWWss,0gqWs
sLJXjB,sLJXXjB,sLJXjB
qoiPN,qoiPPNN,qoiPN
bLA4,bLA44--,bLA4
hzBd,hzBB---,hzB
T5E5m,T5555mm,T5m
DRWhxr,DRWhxxr,DRWhxr
Pl0E,Pl0EE--,Pl0E
7hy7,7hy77--,7hy7
Rd6bwK,Rd6bwwK,Rd6bwK
LM3u,LM3uu--,LM3u
vyPJaMN,vyPJaMN,vyPJaMN
cXRg,cXRgg--,cXRg
8yBo95a,8yBo95a,8yBo95a
Ww3q,Ww33q--,Ww3q
8WBso,8WBssoo,8WBso
BQABI6,BQABII6,BQABI6
NDvR,NDvvR--,NDvR
HNgPeF,HNgPPeF,HNgPeF
